,word,variant,count,cat,affix_type
222,frenchman,frenchman,1, man,suffix
223,defensemen,defensemen,1, man,suffix
224,snowmen,snowmen,1, man,suffix
225,defencemen,defencemen,1, man,suffix
226,cocksman,cocksman,1, man,suffix
227,upperclassman,upperclassman,1, man,suffix
228,winchman,winchman,1, man,suffix
229,merman,merman,1, man,suffix
230,selectmen,selectmen,1, man,suffix
231,birdman,birdman,1, man,suffix
232,capman,capman,1, man,suffix
233,bunnyman,bunnyman,1, man,suffix
234,backwoodsman,backwoodsman,1, man,suffix
235,bestman,bestman,1, man,suffix
236,garageman,garageman,1, man,suffix
237,powerman,powerman,1, man,suffix
238,spokeswoman,spokeswoman,5731, woman,suffix
239,congresswoman,congresswoman,163, woman,suffix
240,businesswoman,businesswoman,101, woman,suffix
241,policewoman,policewoman,46, woman,suffix
242,anchorwoman,anchorwoman,19, woman,suffix
243,forewoman,forewoman,15, woman,suffix
244,gentlewoman,gentlewoman,7, woman,suffix
245,madwoman,madwoman,6, woman,suffix
246,spokewoman,spokewoman,6, woman,suffix
247,frontierswoman,frontierswoman,6, woman,suffix
248,charwoman,charwoman,6, woman,suffix
249,bondwoman,bondwoman,6, woman,suffix
250,everywoman,everywoman,6, woman,suffix
251,noblewoman,noblewoman,6, woman,suffix
252,fisherwoman,fisherwoman,5, woman,suffix
253,transwoman,transwoman,4, woman,suffix
254,newswoman,newswoman,4, woman,suffix
255,frontwoman,frontwoman,3, woman,suffix
256,cavewoman,cavewoman,3, woman,suffix
257,servicewoman,servicewoman,3, woman,suffix
258,bogeywoman,bogeywoman,3, woman,suffix
259,stateswoman,stateswoman,2, woman,suffix
260,man-woman,manwoman,2, woman,suffix
261,craftswoman,craftswoman,2, woman,suffix
262,washerwoman,washerwoman,2, woman,suffix
263,policewomen,policewomen,2, woman,suffix
264,hitwoman,hitwoman,2, woman,suffix
265,batwoman,batwoman,1, woman,suffix
266,markswoman,markswoman,1, woman,suffix
